body_md5	exec_anon	exec_authenticated	exec_public	exec_service_role	kind	language	owner	proconfig	security_definer	signature	volatility
04a613364dd3c7b8764236147406682f	false	true	false	true	f	plpgsql	postgres	search_path=public, pg_temp	true	action_kind_summary_r2523()	s
036b8d7f6ea62221f6727bf91b87cb77	false	true	false	true	f	plpgsql	postgres	search_path=public, pg_temp	true	action_kind_summary_r2542()	s
7f4ed187a495df36a4ee8d414fb638c7	false	true	false	true	f	plpgsql	postgres	search_path=public, pg_temp	true	action_kind_summary_r2568()	s
47fe2d99edd5c2c0c2daaac049aac9d3	false	true	false	true	f	plpgsql	postgres	search_path=public, pg_temp	true	action_outcome_summary_r2318()	v
5c96d611fe38d740c54519cf06d43619	false	true	false	true	f	plpgsql	postgres	search_path=public, pg_temp	true	action_owner_load_r2455()	s
f64e15c1d10faf340f34d0eb466f3e7c	false	true	false	true	f	plpgsql	postgres	search_path=public, pg_temp	true	action_status_funnel_r2499()	s
cf6763482aeb0c442204d2da27b80536	false	true	false	true	f	plpgsql	postgres	search_path=public, pg_temp	true	action_status_funnel_r2545()	s
96f2dbb218db182d535fdc3c6331baa1	false	true	false	true	f	plpgsql	postgres	search_path=public, pg_temp	true	action_status_funnel_r2569()	s
e6ecd17de7911610ba22cd09aab3eb38	false	true	false	true	f	plpgsql	postgres	search_path=public, pg_temp	true	action_status_funnel_r2589()	s
568a8a04b4c053d7ffec9b7b0ede2263	false	true	false	true	f	plpgsql	postgres	search_path=public, pg_temp	true	actionable_snapshots_r1782()	v
14474418e33072b8bcf427ad3fd84fe1	false	true	false	true	f	plpgsql	postgres	search_path=public, pg_temp	true	activate_loyalty_perk_r1739(uuid,text,timestamp with time zone)	v
35bd5b9e39a1e8bedb5aece8a36e4e0b	false	true	false	true	f	plpgsql	postgres	search_path=public, pg_temp	true	active_classes_r2173()	v
960003b3bc7a60891493687fd36834b9	false	true	false	true	f	plpgsql	postgres	search_path=public, pg_temp	true	active_crises_r2030()	v
f9b987a43f7b450cb1c3356f4e7120cd	false	true	false	true	f	plpgsql	postgres	search_path=public, pg_temp	true	active_cycles_r2015()	v
